a	000000000000000000000000000000
a	000000001111111111111110000000
a	000011111111111111100000000000
b	000000000000111111111111110000
b	000111111111110000000000000000
a	000000000000000001111111111111
b	000000011111111111111111111111
a	100000000000000000000000000000
a	111100000000000000000000000000
b	111111111111111111111111100000
a	000111111111111100000000000000
a	000001111000000000000000000000
b	000000000000000011111000000000
b	000000001111000000000000000000
a	000000000000000001111110000000
b	000000000111111100000000000000
b	000000000000001111110000000000
b	000000000000000000000011111000
a	000000000110000000000000000000
a	000000000000000111000000000000
